,Country_Name,Access to electricity (% of population),"Air transport, freight (million ton-km)","Air transport, passengers carried","Automated teller machines (ATMs) (per 100,000 adults)","Cost to import, border compliance (US$)","Life expectancy at birth, total (years)","Nurses and midwives (per 1,000 people)",Population growth (annual %),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",People_practicing_open_defecation_percent_of_population_2017,Covid_Deaths_as_of_2_16_2021,Covid_Cases_as_of_2_16_2021,Covid_Recoviers_as_of_2_16_2021
18,Belize,99.54001617,0,1297533.223,44.56,687.5,74.496,2.3414,1.92457577,6.22,0.784175779,313,12188,11682
19,Benin,41.52923965,,,4.74,599.1,61.47,0.3888,2.734862013,2.81,53.83150061,62,5039,3960
20,Bhutan,100,0.690916,275849,43.93,110.1,71.46,1.8518,1.176843395,0.43,0,1,866,856
21,Bolivia,95.5853653,13.7284774,4122113,40.38,315,71.239,,1.421899486,4.43,13.29706348,11274,237706,180155
22,Bosnia and Herzegovina,100,0,,55.84,108.5,77.262,5.7333,-0.826854592,7.15,0,4935,126413,106831
23,Botswana,64.85172272,0.113606,253417,44.51,98.1,69.275,5.403,2.197675758,6.59,11.03353734,226,25802,21893
24,Brazil,100,1845.64776,102109977,104.75,375,75.672,10.119,0.783847579,7.42,1.125966891,240940,9921981,8847264
25,Brunei Darussalam,100,129.352,1234455,74.5,395,75.722,5.8974,1.051993743,0.48,,3,184,177
26,Bulgaria,100,1.375,1022645,93.4,0,74.96341463,,-0.722080405,12.65,0,9703,232096,198324
27,Burkina Faso,14.4,0.104614,189545.3369,3.96,264.5,61.174,,2.867078367,12.03,46.66535807,138,11630,10979
28,Burundi,11.02425194,,,,443.6,61.247,,3.166773442,7.19,2.621524553,3,1855,773
29,Cabo Verde,93.58599854,0.048636,561944,49.32,587.5,72.782,1.2983,1.159766769,5.6,20.16888409,140,14785,14282
30,Cambodia,91.55067444,0.67645,1411059,19.45,240,69.57,0.6855,1.490355371,6.64,31.74921674,0,479,470
31,Cameroon,62.66007233,0.066817,265136,4.81,1406.9,58.921,,2.612290751,5.65,6.95171118,479,32098,29609
32,Canada,100,2482,91504000,220.01,171.9,81.94878049,9.9438,1.397947791,8.94,0,21395,836594,782150
33,Cayman Islands,100,,,,,,,1.241823478,,,0,1,0
34,Central African Republic,32.42039871,,,,709.3,52.805,,1.519051537,2.38,,63,4996,4885
35,Chad,11.75935555,,,1.15,965,53.977,,3.023579699,1.37,66.98929291,131,3689,3209
36,Channel Islands,,,,,,82.928,,1.081493246,,0,0,1,0
37,Chile,100,1226.44199,19517185,49.69,290,80.042,13.3248,1.391010541,9.07,0,19644,782039,740465
38,China,100,25256.2071,611439830,97.12,326,76.704,,0.455899679,7.05,0.226361222,4831,100639,94875
39,Colombia,99.93644714,1350.008974,33704037,42.35,545,77.109,1.3309,1.524235944,5.74,3.066365765,57949,2202598,2095105
40,Comoros,81.92275238,,,4.97,765.4,64.118,,2.239170611,0.69,0.5915518,133,3393,2935
41,"Congo, Dem. Rep.",18.97766113,0.915105,587653.0308,,3039,60.368,1.1101,3.2266989,2,12.05268314,695,24424,15544
42,"Congo, Rep.",68.51843262,4.597160619,508978.9399,,1580.6,64.29,0.6271,2.5817013,9.27,8.745093561,123,8419,7019
43,Costa Rica,100,11.13032,1950049,74.34,420,80.095,3.4144,0.994782258,4.87,0.203554542,2737,200454,165439
44,Cote d'Ivoire,66.99118042,4.160268984,825257,6.9,455.7,57.422,0.6048,2.552358861,2.71,25.7372219,179,31365,29603
45,Croatia,100,0.52979,2093577,147.31,0,78.07073171,,-0.893486928,9.23,,5357,237999,230683
46,Cuba,100,17.76123,563540,,,78.726,7.5614,-0.009886496,5.83,0.268790636,274,39941,34716
47,Curacao,100,,,,,,,-0.234393419,,0.272701409,0,1,0
48,Cyprus,100,0.021,401408,42.14,335,80.828,,0.809225398,10.81,0,225,32707,2057
49,Czech Republic,100,25.22637,8851291,57.1,0,79.02926829,,0.334427262,14.45,0,18430,1099654,978749
50,Denmark,100,,,46.82,0,80.95365854,,0.495838926,10.26,0,2309,205871,197942
51,Djibouti,60.39544678,,,13.18,1055,66.582,,1.557873607,0.43,17.3179097,63,5981,5865
52,Dominica,100,,,36.19,905.6,,6.4385,0.233431052,11.18,,0,134,121
53,Dominican Republic,100,0,,36.88,579.2,73.892,1.3802,1.078841148,6.68,2.874628513,2975,231095,179097
54,Ecuador,100,64.20469,5365261,34.53,250,76.8,2.5059,1.765611201,4.2,2.096528161,15392,268073,230377
55,"Egypt, Arab Rep.",100,437.625328,12386010,18.72,553.7,71.825,1.9262,2.033262176,0.36,0,10101,175059,135670
